OperatorTerminal,Description,IPAddress,WorkplaceID,BehaviorDescription,OrderStatus,BoPExecution,QG,Kitting,WorkplaceNId,LayoutEnum,Layout,Workplace,OrderType,OrderStatusFilter,ShowToBeActivated,SortingParam,FilterByLine,GridListView,EnableESOnWorkplaceEnter,AutoassignSerialNumber,ClientDef_NId,ShowReworkCompleted,DisplayRejectionReasons,AllowCellManagement,IsMultyOrderSelection,CanChangeWorkplace,DisplayDCOButton,DisplayUndoOperationOT,AutoExitWorkplace,AutoassignWhiteListCheck,ProductionLine,SearchDryingTask,FastDefectOpening,AutoassignChangeWorkplace,SetOrderLocChangeWorkplace,DisplayFixDefectButtons,UseNewDefectUI,UseNewSilhouetteUI,UseMaterialCallFromLineSideUI,CheckLoadingSequence,CheckProcessingSequence,DisplayOrderMeasurement,Id,NodeID
3201_G2BA02RR,3201_G2BA02RR,10.98.96.98,f2d4e799-3194-f011-bb24-06f36d7313c7,Order Status + BoP Execution,1,2,0,0,3201_G2BA02RR,1,OneColumn,BA,,,false,,false,false,false,false,3201_G2BA02RR,false,false,false,false,true,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,28ebad4f-08be-f011-848c-000c2946f184,eed4e799-3194-f011-bb24-06f36d7313c7
3201_GAC212LH,3201_GAC212LH,10.98.96.56,a20c571a-f098-f011-bb23-06f9abf5195b,BoP Execution +  QG,0,2,4,0,3201_GAC212LH,1,OneColumn,3201_EA15_2025 RHD INDO,,,false,,false,false,false,false,3201_GAC212LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,f691e39a-08be-f011-8494-000c2997d9e5,9e0c571a-f098-f011-bb23-06f9abf5195b
3201_G2FX01LH,3201_G2FX01LH,10.98.96.170,324a6ae8-76aa-f011-848c-000c29eabf5a,Order Status + BoP Execution + QG,1,2,4,0,3201_G2FX01LH,1,OneColumn,FX,,,false,,false,false,false,false,3201_G2FX01LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,27416d1f-19ba-f011-8494-000c2997d9e5,2e4a6ae8-76aa-f011-848c-000c29eabf5a
3201_G2FX03LH,3201_G2FX03LH,10.98.96.61,3aef3bce-76aa-f011-848c-000c29eabf5a,BoP Execution +  QG,0,2,4,0,3201_G2FX03LH,1,OneColumn,FX,,,false,,false,false,false,false,3201_G2FX03LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,c93e0266-1aba-f011-848f-000c29eabf5a,36ef3bce-76aa-f011-848c-000c29eabf5a
3201_GAC213LH,3201_GAC213LH,10.98.96.76,f088e41b-f098-f011-bb23-06f9abf5195b,BoP Execution,0,2,0,0,3201_GAC213LH,1,OneColumn,C2,,,false,,false,false,false,false,3201_GAC213LH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,cddad334-f3ba-f011-8494-000c2997d9e5,ec88e41b-f098-f011-bb23-06f9abf5195b
3201_GAC108RH,3201_GAC108RH,10.98.96.31,88a648c5-f498-f011-bb23-06f9abf5195b,BoP Execution,0,2,0,0,3201_GAC108RH,1,OneColumn,C1,,,false,,false,false,false,false,3201_GAC108RH,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,beee7603-83bb-f011-8494-000c2997d9e5,84a648c5-f498-f011-bb23-06f9abf5195b
3201_GAC212RH,3201_GAC212RH,10.98.96.40,7c090a23-f098-f011-bb24-06f36d7313c7,BoP Execution,0,2,0,0,3201_GAC212RH,1,OneColumn,3201_EA15_2025 RHD INDO,,,false,,false,false,false,false,3201_GAC212RH,false,false,,false,false,false,,false,false,,false,false,false,false,false,false,false,false,false,false,false,860ff94d-0bbe-f011-8494-000c2997d9e5,78090a23-f098-f011-bb24-06f36d7313c7
3201_GAC211RH,3201_GAC211RH,10.98.96.62,e8d56f03-1699-f011-bb25-0662523cfec5,BoP Execution,0,2,0,0,3201_GAC211RH,1,OneColumn,3201_EC1V_2025 RHD INDO,,,false,,false,false,false,false,3201_GAC211RH,false,false,false,false,true,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,8b893e14-0ebe-f011-8494-000c2997d9e5,e4d56f03-1699-f011-bb25-0662523cfec5
3201_GAFL01RH,3201_GAFL01RH,10.98.96.13,ea21ebe4-9397-f011-bb23-068adba823c5,BoP Execution,0,2,0,0,3201_GAFL01RH,1,OneColumn,FL,,,false,,false,false,false,false,3201_GAFL01RH,false,false,false,false,true,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,e384bafa-9dbe-f011-848f-000c29eabf5a,e621ebe4-9397-f011-bb23-068adba823c5
3201_GAC106QC,3201_GAC106QC,10.98.96.42,5300a121-f098-f011-bb25-0662523cfec5,Order Status + BoP Execution + QG,1,2,4,0,3201_GAC106QC,1,OneColumn,C1,,,false,,false,false,false,false,3201_GAC106QC,false,false,false,false,false,false,false,false,false,,false,false,false,false,false,true,false,false,false,false,false,1e19a9c2-a6be-f011-8494-000c2997d9e5,4f00a121-f098-f011-bb25-0662523cfec5
